company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Mentorship_predicted,Paid Time Off_predicted,Flexible Hours_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Salary Satisfaction_predicted,Management Opportunities_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image
Spiceworks,3.3,4.4,2.7,3.1,4.1,3.8,4.1,2.2,3.9,3.4,3.6,2.1,3.4,3.6,3.1,2.5,10,3.8,3.66,3.68,4.22,3.69,2.5487,4.4682,3.3042,3.8023,2.6666,3.4003,3.6274,3.3,3.8,https://www.spiceworks.com/jobs/,/static/img/spiceworks.png
Stitch Fix,3.7,3.6,3.9,3.8,3.7,4,2.6,2.7,4,3.6,3.6,3.1,4.2,4.3,3,4.8,85,3.2,2.760869565,2.858695652,3.413043478,3.054347826,2.5716,3.5866,3.7033,3.7228,2.9992,2.8563,3.8174,3.7,3.2,https://www.stitchfix.com/careers/jobs,/static/img/stitchfix.png
Tableau software,3.2,4,2.9,3.1,3.7,3.8,3,2.3,3.5,3.6,4,3.3,3.1,3.2,2.7,2.8,25,3.8,4.362637363,4.043956044,4.472527473,4.384615385,2.359,4.0384,3.3286,3.6018,3.1842,2.7339,3.0799,3.2,3.8,https://careers.tableau.com/listing,/static/img/tableau.png
TeleNetwork,3.5,3.6,4.4,4,3,4.2,3.7,2.5,3.6,3.4,3.6,2.8,3.5,4,2.6,3.1,24,2.5,3.333333333,3.166666667,3.666666667,3.833333333,2.4196,3.5425,3.8732,3.3397,2.8611,2.6674,3.4653,3.5,2.5,https://www.telenetwork.com/,/static/img/telenetwork.png
USAA,3.8,4.2,3.3,3.1,3.9,3.8,4.5,3.4,4.5,4.2,3.8,3.7,3.9,4,3.4,3.7,171,3.6,3.358024691,3.740740741,3.593406593,3.802197802,3.055,3.9915,3.0453,3.8767,3.3563,3.0488,3.5731,3.8,3.6,https://www.usaajobs.com/,/static/img/usaa.png
Uber,3.2,3.7,2.9,3.5,3.4,3.6,3.2,3.1,3.6,3.2,2.8,2.8,3.1,3.4,2.6,3,110,4.2,4.7,4,4.4,3.9,2.9749,3.8369,3.3887,3.7691,2.964,2.8469,3.2132,3.2,4.2,https://www.uber.com/us/en/careers/,/static/img/uber.jpg
VMware,3.7,4.4,4.2,3.8,3.7,3.6,4,3.3,4.4,3.9,3.2,3.5,3.6,3.4,3.7,3,32,4.1,4.096385542,4.615384615,4.571428571,4.296703297,3.1449,4.2646,3.6978,4.036,3.3186,3.4116,3.487,3.7,4.1,https://careers.vmware.com/,/static/img/vmware.jpg
Volusion,,,,,,,,,,,,,,,,,0,3.1,2.571428571,2.571428571,3.142857143,3,2.3723,4.0775,3.5634,3.0565,2.6211,1.9184,2.5923,Not Rated,3.1,https://www.volusion.com/careers,/static/img/volusion.png
Vrbo,3.4,4.4,2.3,2.7,3.8,4.2,3.4,2.8,4.2,3.7,3.1,3.2,3.6,3.6,2.9,2.9,33,3.6,2.892857143,3.69047619,3.333333333,2.94047619,2.7555,4.3038,2.8675,3.9883,3.0863,2.8994,3.3643,3.4,3.6,https://www.homeaway.com/careers,/static/img/vrbo.png
drillinginfo,2.9,4.2,2.6,3.8,3.7,3.5,3.7,1.6,3.6,3,3,2.2,2.4,2.4,1.6,2.2,13,3.7,3.907894737,3.513157895,3.605263158,3.789473684,1.8676,4.1332,3.702,3.5841,2.2891,2.0633,2.8383,2.9,3.7,https://info.drillinginfo.com/careers/,/static/img/drillinginfo.png
